,quantity,ingredient
0,453.59,"g spaghetti, uncooked"
1,,"salt and freshly ground pepper, to your taste"
2,2.5,ml oil
3,1,"onion, peeled and finely sliced"
4,5 - 6,slices bacon
5,101.44,"g mushrooms, washed and sliced"
6,60,ml butter
7,35.22,g Parmesan cheese
8,5,"eggs, beaten"
9,15,"ml parsley, freshly chopped, optional"
